"A/A","Air-to-Air"
"A/G","Air-to-Ground"
"AB","Alberta"
"ABT","About"
"ABV","Above"
"AC","Altocumulus"
"ACC","Altocumulus Castellanus"
"ACC","Area Control Centre"
"ACFT","Aircraft"
"ACLT","Accelerate"
"ACLTD","Accelerated"
"ACLTG","Accelerating"
"ACLTN","Acceleration"
"ACPT","Accept, Accepted"
"ACPTG","Accepting"
"ACPY","Accompany"
"ACPYD","Accompanied"
"ACPYG","Accompanying"
"ACRD","Accord"
"ACRDG","According"
"ACRDGLY","Accordingly"
"ACRS","Across"
"ACT","Active"
"ACTLY","Actively"
"ACYC","Anticyclonic"
"ACYCLY","Anticyclonically"
"AD","Aerodrome(s)"
"ADDN","Addition"
"ADJ","Adjacent(s)"
"ADVCTN","Advection"
"ADVN","Advance"
"ADVND","Advanced"
"ADVNG","Advancing"
"ADVNMT","Advancement"
"ADZ","Advise"
"ADZD","Advised"
"ADZG","Advising"
"ADZRY","Advisory"
"AFCT","Affect"
"AFCTD","Affected"
"AFCTG","Affecting"
"AFL","Above Freezing Layer"
"AFT","After"
"AFTN","Afternoon"
"AG","Above Ground"
"AGL","Above Ground Level"
"AGN","Again"
"AGR","Agree"
"AGRD","Agreed"
"AGRG","Agreeing"
"AGRMT","Agreement"
"AHD","Ahead"
"AIREP","Air Report"
"AIRMET","Aviation Weather Advisory"
"AIRMS","Air Mass"
"AIRMSS","Air Masses"
"AK","Alaska"
"AL","Alabama"
"ALF","Aloft"
"ALG","Along"
"ALQDS","All Quadrants"
"ALSK PNHDL","Alaska Panhandle"
"ALT","Altitude"
"ALTHO","Although"
"ALTM","Altimeter"
"ALTN","Alternate(s)"
"ALUTN","Aleutian"
"ANTISL","Anticosti Island"
"AMD","Amend, Amended"
"AMDG","Amending"
"AMDT","Amendment"
"AMDTS","Amendments"
"AMP","Amplify"
"AMPD","Amplified"
"AMPG","Amplifying"
"AMPLTD","Amplitude"
"AMPN","Amplification"
"AMSL","Above Mean Sea Level"
"AMT","Amount (clouds)"
"ANAL","Analyze, Analysis"
"ANALD","Analyzed"
"ANALG","Analyzing"
"ANTCPT","Anticipate"
"ANTCPTD","Anticipated"
"ANTCPTG","Anticipating"
"ANTCPTN","Anticipation"
"AP","Anomalous Propagation"
"APCH","Approach"
"APCHBL","Approachable"
"APCHD","Approached"
"APCHG","Approaching"
"APPR","Appear"
"APPRD","Appeared"
"APPRG","Appearing"
"APPRNC","Appearance"
"APR","April"
"APRNT","Apparent"
"APRNTLY","Apparently"
"APRX","Approximate, Approximately"
"APRXN","Approximation"
"AR","Arkansas"
"ARND","Around"
"ARNG","Arrange"
"ARNGD","Arranged"
"ARNGG","Arranging"
"ARNGMT","Arrangement"
"AP","Airport(s)"
"ARR","Arrival, Arrive"
"ARRD","Arrived"
"ARRG","Arriving"
"ARTC","Arctic"
"AS","Altostratus"
"ASAP","As Soon As
				Possible"
"ASC","Ascend, Ascended, Ascending"
"ASL","Above Sea Level"
"ASNT","Ascent"
"ASOCT","Associate"
"ASOCTD","Associated"
"ASOCTG","Associating"
"ASOCTN","Association"
"AT …","At (followed by
				time)"
"ATLC","Atlantic"
"ATMOS","Atmosphere"
"ATND","Attend"
"ATNDD","Attended"
"ATNDG","Attending"
"ATTM","At This Time"
"AUG","August"
"AURBO","Aurora Borealis"
"AUTO","Automatic"
"AUTOLY","Automatically"
"AVBL","Available"
"AVG","Average"
"AVGD","Averaged"
"AVGG","Averaging"
"AVLPEN","Avalon Peninsula"
"AVTN","Aviation"
"AWOS","Automated Weather Observing System"
"AZ","Arizona"
"BACLIN","Baroclinic"
"BACLINLY","Baroclinically"
"BACLINTY","Baroclinicity"
"BAFBA","Baffin Bay"
"BAFDY","Bay of Fundy"
"BAFISLD","Baffin Island"
"BARO","Barometer"
"BAROLY","Barometrically"
"BATROP","Barotropic"
"BATROPLY","Barotropically"
"BC","British Columbia"
"BCFG","Fog Patches"
"BCK","Back"
"BCKD","Backed"
"BCKG","Backing"
"BCN","Beacon"
"BCS","Because"
"BCST","Broadcast"
"BDA","Bermuda"
"BDR","Border"
"BDRS","Borders"
"BDRY","Boundary(ies)"
"BECM","Become, Became"
"BECMG","Becoming"
"BFR","Before"
"BFRTS","Beaufort Sea"
"BGN","Begin, Began"
"BGNG","Beginning"
"BHND","Behind"
"BKN","Broken"
"BKNG","Breaking"
"BL","Blowing"
"BLD","Build"
"BLDD","Built"
"BLDG","Building"
"BLDU","Blowing Dust"
"BLDUP","Buildup"
"BLDUPS","Buildups"
"BLK","Block"
"BLKS","Blocks"
"BLN","Balloon"
"BLNS","Balloons"
"BLSA","Blowing Sand"
"BLSN","Blowing Snow"
"BLT","Built"
"BLT","Built"
"BLW","Below"
"BND","Band"
"BNDS","Bands"
"BNKISL","Banks Island"
"BNTH","Beneath"
"BOVC","Base of Overcast"
"BR","Mist"
"BRD","Broad"
"BRDLY","Broadly"
"BRDN","Broaden"
"BRDNG","Broadening"
"BRDR","Broader"
"BRF","Brief"
"BRFLY","Briefly"
"BRK","Break"
"BRKS","Breaks"
"BTL","Between Layers"
"BTN","Between"
"BTR","Better"
"BULL","Bulletin"
"BULLS","Bulletins"
"BYD","Beyond"
"C","Celsius (Degrees)"
"CA","California"
"CAA","Cold Air Advection"
"CAN","Canada, Canadian"
"CAPBR","Cape Breton Island"
"CARIB","Caribbean"
"CASCDS","Cascades"
"CASHLD","Canadian Shield"
"CAT","Category(ies)"
"CAT","Clear Air Turbulence"
"CB","Cumulonimbus"
"CBTSTR","Cabot Strait"
"CC","Cirrocumulus"
"CCT","Circuit"
"CCTS","Circuits"
"CF","Cumulus Fractus"
"CH","Channel(s)"
"CHG","Change"
"CHGD","Changed"
"CHGG","Changing"
"CHGS","Changes"
"CHLRBA","Chaleur Bay"
"CHNC","Chance"
"CHNCS","Chances"
"CI","Cirrus"
"CIG","Ceiling"
"CIGS","Ceilings"
"CIV","Civil"
"CLD","Cloud(s)"
"CLD AND WX","Clouds and Weather"
"CLR","Clear"
"CLR","Clear type of ice formation"
"CLRD","Cleared"
"CLRG","Clearing"
"CLRLY","Clearly"
"CLS","Close"
"CLSD","Close, Closed, Closing"
"CLSLY","Closely"
"CM","Centimeter(s)"
"CMA","Comma"
"CMAH","Comma Head"
"CMAS","Commas"
"CMASC","Comma Shape Cloud"
"CMNC","Commence"
"CMNCD","Commenced"
"CMNCG","Commencing"
"CMNCMT","Commencement"
"CMPL","Complete, Completed, Completion"
"CMPLG","Completing"
"CMPLLY","Completely"
"CMPLX","Complex"
"CMPTR","Computer"
"CNL","Cancel, Cancelled, Cancelling, Cancellation"
"CNCLSN","Conclusion"
"CNCLSNS","Conclusions"
"CNFLNC","Confluence"
"CNFLNT","Confluent"
"CNTR","Centre"
"CNTRD","Centred"
"CNTRG","Centering"
"CNTRL","Central"
"CNTRLY","Centrally"
"CNTRS","Centres"
"CO","Colorado"
"COM","Communications"
"COND","Condition(s)"
"CONFID","Confident, Confidence"
"CONS","Continuing, Continuous"
"CONT","Continue, Continues"
"CONTR","Contour"
"CONTRAILS","Condensation Trails"
"CONTRS","Contours"
"CONVRG","Converge"
"CONVRGD","Converged"
"CONVRGG","Converging"
"CONVRGNC","Convergence"
"COR","Correct, Correction, Corrected"
"CORG","Correcting"
"COV","Cover, Covered, Covering"
"CRCLT","Circulate"
"CRCLTD","Circulated"
"CRCLTG","Circulating"
"CRCLTN","Circulation"
"CRNGLF","Coronation Gulf"
"CRNT","Current"
"CRNTLY","Currently"
"CRSPND","Correspond"
"CRSPNDD","Corresponded"
"CRSPNDG","Corresponding"
"CRSPNDLY","Correspondingly"
"CRSPNDNC","Correspondence"
"CRV","Curve"
"CRVS","Curves"
"CS","Cirrostratus"
"CSDRBL","Considerable"
"CSDRBLY","Considerably"
"CST","Coast"
"CSTLMTNS","Coastal Mountains"
"CSTLPSS","Coastal Passes"
"CSTS","Coasts"
"CT","Connecticut"
"CTC","Contact"
"CTCD","Contacted"
"CTCG","Contacting"
"CTCS","Contacts"
"CTL","Control"
"CTLD","Controlled"
"CTLG","Controlling"
"CTN","Caution"
"CU","Cumulus"
"CVCTN","Convection"
"CVCTV","Convective"
"CVCTVLY","Convectively"
"CYC","Cyclonic"
"CYCGNS","Cyclogenesis"
"CYCLYS","Cyclonically"
"CYCLYS","Cyclolysis"
"CYPHL","Cypress Hills"
"DABRK","Daybreak"
"DALGT","Daylight"
"DAM","Decametre(s)"
"DATM","Daytime"
"DB","Dry Bulb"
"DBL","Double"
"DBLD","Doubled"
"DBLG","Doubling"
"DBT","Doubt"
"DBTD","Doubted"
"DBTFL","Doubtful"
"DBTG","Doubting"
"DBTS","Doubts"
"DC","District of Columbia"
"DCLRT","Decelerate"
"DCLRTD","Decelerated"
"DCLRTN","Deceleration"
"DCLTRG","Decelerating"
"DCT","Direct"
"DCTD","Directed"
"DCTG","Directing"
"DCTLY","Directly"
"DCTN","Direction"
"DDG","Dodging"
"DE","Delaware"
"DEC","December"
"DECID","Decide"
"DECIDD","Decided"
"DECIDG","Deciding"
"DECIDN","Decision"
"DEG","Degree(s)"
"DES","Descend, descended, Descending"
"DEV","Deviation, Deviate, Deviated, Deviating"
"DFCLT","Difficult"
"DFCLTY","Difficulty"
"DFNT","Definite"
"DFNTLY","Definitively"
"DFT","Draft"
"DFTS","Drafts"
"DFZN","Deformation Zone"
"DIAG","Diagnosis, Diagnose"
"DIAGD","Diagnosed"
"DIAGG","Diagnosing"
"DIF","Diffuse, Diffused, Diffusing, Diffusely"
"DIFLNC","Diffluence"
"DIFLNT","Diffluent"
"DISAPRNC","Disappearance"
"DISEM","Disseminate"
"DISEMD","Disseminated"
"DISEMG","Disseminating"
"DISEMN","Dissemination"
"DIST","Distant, Distance"
"DISTR","Distribute"
"DISTRD","Distributed"
"DISTRG","Distributing"
"DISTRN","Distribution"
"DIVRG","Diverge"
"DIVRGD","Diverged"
"DIVRGG","Diverging"
"DIVRGNC","Divergence"
"DIVRGT","Divergent"
"DKTS","Dakotas"
"DLA","Delay, Delayed, Delaying"
"DLT","Delete"
"DLTD","Deleted"
"DLTG","Deleting"
"DLTN","Deletion"
"DLY","Daily"
"DMNT","Dominant"
"DMNTD","Dominated"
"DMNTG","Dominating"
"DMNTGLY","Dominantly"
"DMNTS","Dominants"
"DMSH","Diminish"
"DMSHD","Diminished"
"DMSHG","Diminishing"
"DN","Down"
"DNDFT","Downdraft"
"DNG","Danger, Dangerous"
"DNGLY","Dangerously"
"DNS","Dense"
"DNSLP","Downslope"
"DNSLY","Densly"
"DNSR","Denser"
"DNSTRM","Downstream"
"DNWND","Downwind"
"DOM","Domestic"
"DOMLY","Domestically"
"DP","Deep"
