"ABT","À peu-près"
"ABV","Au-dessus"
"AFL","Couche au-dessus du niveau de congélation"
"AG","Au-dessus du sol"
"AGL","Au-dessus du niveau du sol"
"AMSL","Au-dessus du niveau moyen de la mer"
"ASL","Au-dessus du niveau de la mer"
"ACLT","Accélérer"
"ACLTD","Accéléré(e, s, es)"
"ACLTG","Accélérant"
"ACLTN","Accélération"
"ACPT","Accepter, accepté(e, s, es)"
"ACPTG","Acceptant"
"ACPYD","Accompagné(e, s, es)"
"ACPY","Accompagner"
"ACPYG","Accompagnant"
"ACRD","Accord"
"ACRDG","Selon"
"ACRDGLY","En conséquence, par conséquent"
"ACRS","À travers"
"ACT","Actif"
"ACTLY","Activement"
"ADDN","Addition"
"ADJ","Adjacent, adjacents"
"ADVN","Avancer"
"ADVND","Avancé(e, s, es)"
"ADVNMT","Avancement"
"ADVNG","Avançant"
"ADVCTN","Advection"
"ADZ","Conseiller"
"ADZD","Conseillé(e, s, es)"
"ADZG","Conseillant"
"ADZRY","Avis"
"AD","Aérodrome(s)"
"TAF","Prévision d&#39;aérodrome"
"TAF","Prévisions d&#39;aérodrome"
"METAR","Message d&#39;observation météorologique régulière d&#39;aérodrome"
"SPECI","Message d&#39;observation météorologique spéciale d&#39;aérodrome"
"AFCT","Affecter"
"AFCTD","Affecté(e, s, es)"
"AFCTG","Affectant"
"AFT","Après"
"AFTN","Après-midi"
"AGN","Encore"
"AGR","En accord, être d&#39;accord"
"AGRD","Accepté(e, s, es)"
"AGRG","Acceptant"
"AGRMT","Accord"
"AHD","En avant"
"AIRMS","Mass d&#39;air"
"AIRMSS","Masses d&#39;air"
"AIREP","Compte rendu en vol"
"ACFT","Aéronef, avion"
"AP","Aéroport(s)"
"A/A","Air-air"
"A/G","Air-sol"
"AL","Alabama"
"AK","Alaska"
"ALSK PNHDL","Extrême sud de l&#39;Alaska"
"AB","Alberta"
"ALUTN","Aléoutiennes"
"ALQDS","Tous les quadrants"
"ALF","En altitude"
"ALG","Le long de"
"ALTN","Aéroport(s) de dégagement"
"ALTHO","Bien que"
