"AAA","(or AAB, AAC, AAD... etc., in sequence) Amended meteorological message (a message type designator)"
"AAL","Above aerodrome level"
"ABNDT","Abundant"
"ABNML","Abnormal"
"ABT","About"
"ABV","Above"
"Ac or AC","Altocumulus"
"AC","Anticipated Convection Outlook"
"ACC","Area Control Center or area control"
"ACCAS","Altocumulus Castellanus"
"ACCID","Notification of an aircraft accident"
"ACCUM","Accumulate"
"ACFT","Aircraft"
"ACK","Acknowledge"
"ACLT","Accelerate"
"ACLTD","Accelerated"
"ACLTG","Accelerating"
"ACLTS","Accelerates"
"ACPT","Accept or accepted"
"ACPY","Accompany"
"ACRS","Across"
"ACSL","Altocumulus Standing Lenticular"
"ACT","Active or activated or activity"
"ACTV","Active"
"ACTVTY","Activity"
"ACYC","Anticyclone"
"AD","Aerodrome"
"ADA","Advisory area"
"ADDN","Addition or additional"
"ADJ","Adjacent"
"ADL","Additional"
"ADM","Administrative Messages"
"ADQT","Adequate"
"ADQTLY","Adequately"
"ADR","Advisory route"
"ADRNDCK","Adirondack"
"ADVCT","Advect"
"ADVCTD","Advected"
"ADVCTG","Advecting"
"ADVCTN","Advection"
"ADVCTS","Advects"
"ADVIS","Headwater Advisory Program"
"ADVN","Advance"
"ADVNG","Advancing"
"ADVS","Advisory service"
"ADVY","Advisory"
"ADVYS","Advisories"
"ADZ","Advise"
"AFCT","Affect"
"AFCTD","Affected"
"AFCTG","Affecting"
"AFD","Area Forecast Discussion"
"AFDK","After dark"
"AFOS","Automation of Field Operations and Services"
"AFT","After (time or place)"
"AFTN","Afternoon"
"AGC","Automatic Gain Control"
"AGL","Above ground level"
"AGN","Again"
"AGRD","Agreed"
"AGRMT","Agreement"
"AGRS","Agrees"
"AHD","Ahead"
"AHOS-S","Automatic Hydrologic Observing System - Satellite"
"AHOS","Automatic Hydrologic Observing System"
"AHOS-T","Automatic Hydrologic Observing System - Telephone"
"AIRMET","AIRman's METeorological Information"
"AK","Alaska"
"AL","Alabama"
"ALERT","Automated Local Evaluation in Real Time"
"ALF","Aloft"
"ALG","Along"
"ALGHNY","Allegheny"
"ALQDS","All quadrants"
"ALSTG","Altimeter setting"
"ALT","Altitude"
"ALTA","Alberta"
"ALTHO","Although"
"ALTM","Altimeter"
"ALUTN","Aleutian"
